Zip,YEAR,INCOME,NUMBER
92078,2010,"Less than $15,000",1275
92078,2010,"$15,000 to $29,999",2101
92078,2010,"$30,000 to $44,999",2342
92078,2010,"$45,000 to $59,999",1796
92078,2010,"$60,000 to $74,999",1300
92078,2010,"$75,000 to $99,999",1807
92078,2010,"$100,000 to $124,999",1339
92078,2010,"$125,000 to $149,999",1045
92078,2010,"$150,000 to $199,999",1194
92078,2010,"$200,000 or more",1051
92081,2010,"Less than $15,000",643
92081,2010,"$15,000 to $29,999",1220
92081,2010,"$30,000 to $44,999",1679
92081,2010,"$45,000 to $59,999",1428
92081,2010,"$60,000 to $74,999",1113
92081,2010,"$75,000 to $99,999",1587
92081,2010,"$100,000 to $124,999",966
92081,2010,"$125,000 to $149,999",755
92081,2010,"$150,000 to $199,999",519
92081,2010,"$200,000 or more",375
92082,2010,"Less than $15,000",222
92082,2010,"$15,000 to $29,999",530
92082,2010,"$30,000 to $44,999",605
92082,2010,"$45,000 to $59,999",851
92082,2010,"$60,000 to $74,999",836
92082,2010,"$75,000 to $99,999",856
92082,2010,"$100,000 to $124,999",716
92082,2010,"$125,000 to $149,999",542
92082,2010,"$150,000 to $199,999",385
92082,2010,"$200,000 or more",528
92083,2010,"Less than $15,000",564
92083,2010,"$15,000 to $29,999",1570
92083,2010,"$30,000 to $44,999",1843
92083,2010,"$45,000 to $59,999",1762
92083,2010,"$60,000 to $74,999",996
92083,2010,"$75,000 to $99,999",1584
92083,2010,"$100,000 to $124,999",943
92083,2010,"$125,000 to $149,999",591
92083,2010,"$150,000 to $199,999",376
92083,2010,"$200,000 or more",175
92084,2010,"Less than $15,000",1183
92084,2010,"$15,000 to $29,999",2268
92084,2010,"$30,000 to $44,999",2962
92084,2010,"$45,000 to $59,999",1998
92084,2010,"$60,000 to $74,999",1541
92084,2010,"$75,000 to $99,999",1571
92084,2010,"$100,000 to $124,999",1166
92084,2010,"$125,000 to $149,999",704
92084,2010,"$150,000 to $199,999",818
92084,2010,"$200,000 or more",557
92086,2010,"Less than $15,000",88
92086,2010,"$15,000 to $29,999",63
92086,2010,"$30,000 to $44,999",95
92086,2010,"$45,000 to $59,999",69
92086,2010,"$60,000 to $74,999",61
92086,2010,"$75,000 to $99,999",24
92086,2010,"$100,000 to $124,999",27
92086,2010,"$125,000 to $149,999",6
92086,2010,"$150,000 to $199,999",12
92086,2010,"$200,000 or more",19
92091,2010,"Less than $15,000",47
92091,2010,"$15,000 to $29,999",39
92091,2010,"$30,000 to $44,999",46
92091,2010,"$45,000 to $59,999",30
92091,2010,"$60,000 to $74,999",36
92091,2010,"$75,000 to $99,999",43
92091,2010,"$100,000 to $124,999",95
92091,2010,"$125,000 to $149,999",59
92091,2010,"$150,000 to $199,999",76
92091,2010,"$200,000 or more",210
92093,2010,"Less than $15,000",11
92093,2010,"$15,000 to $29,999",7
92093,2010,"$30,000 to $44,999",6
92093,2010,"$45,000 to $59,999",2
92093,2010,"$60,000 to $74,999",6
92093,2010,"$75,000 to $99,999",10
92093,2010,"$100,000 to $124,999",4
92093,2010,"$125,000 to $149,999",9
92093,2010,"$150,000 to $199,999",13
92093,2010,"$200,000 or more",38
92096,2010,"Less than $15,000",0
92096,2010,"$15,000 to $29,999",0
92096,2010,"$30,000 to $44,999",0
92096,2010,"$45,000 to $59,999",0
92096,2010,"$60,000 to $74,999",0
92096,2010,"$75,000 to $99,999",0
92096,2010,"$100,000 to $124,999",0
92096,2010,"$125,000 to $149,999",0
92096,2010,"$150,000 to $199,999",0
92096,2010,"$200,000 or more",0
92101,2010,"Less than $15,000",4334
92101,2010,"$15,000 to $29,999",3271
92101,2010,"$30,000 to $44,999",1830
92101,2010,"$45,000 to $59,999",2401
92101,2010,"$60,000 to $74,999",1570
92101,2010,"$75,000 to $99,999",1978
92101,2010,"$100,000 to $124,999",1540
92101,2010,"$125,000 to $149,999",754
92101,2010,"$150,000 to $199,999",1273
92101,2010,"$200,000 or more",1250
92102,2010,"Less than $15,000",2149
92102,2010,"$15,000 to $29,999",2901
92102,2010,"$30,000 to $44,999",2594
92102,2010,"$45,000 to $59,999",1822
92102,2010,"$60,000 to $74,999",1558
92102,2010,"$75,000 to $99,999",1462
92102,2010,"$100,000 to $124,999",553
92102,2010,"$125,000 to $149,999",303
92102,2010,"$150,000 to $199,999",243
92102,2010,"$200,000 or more",183
92103,2010,"Less than $15,000",1864
92103,2010,"$15,000 to $29,999",2071
92103,2010,"$30,000 to $44,999",3133
92103,2010,"$45,000 to $59,999",2113
92103,2010,"$60,000 to $74,999",1605
92103,2010,"$75,000 to $99,999",2301
92103,2010,"$100,000 to $124,999",1406
92103,2010,"$125,000 to $149,999",747
92103,2010,"$150,000 to $199,999",974
92103,2010,"$200,000 or more",1268
92104,2010,"Less than $15,000",3302
92104,2010,"$15,000 to $29,999",3584
92104,2010,"$30,000 to $44,999",3754
92104,2010,"$45,000 to $59,999",2536
92104,2010,"$60,000 to $74,999",2125
92104,2010,"$75,000 to $99,999",2563
92104,2010,"$100,000 to $124,999",1449
92104,2010,"$125,000 to $149,999",709
92104,2010,"$150,000 to $199,999",764
92104,2010,"$200,000 or more",629
92105,2010,"Less than $15,000",3669
92105,2010,"$15,000 to $29,999",4911
92105,2010,"$30,000 to $44,999",4006
92105,2010,"$45,000 to $59,999",2824
92105,2010,"$60,000 to $74,999",1679
92105,2010,"$75,000 to $99,999",1834
92105,2010,"$100,000 to $124,999",911
92105,2010,"$125,000 to $149,999",583
92105,2010,"$150,000 to $199,999",207
92105,2010,"$200,000 or more",135
92106,2010,"Less than $15,000",668
92106,2010,"$15,000 to $29,999",1057
92106,2010,"$30,000 to $44,999",814
92106,2010,"$45,000 to $59,999",717
92106,2010,"$60,000 to $74,999",792
92106,2010,"$75,000 to $99,999",994
92106,2010,"$100,000 to $124,999",713
92106,2010,"$125,000 to $149,999",510
92106,2010,"$150,000 to $199,999",797
92106,2010,"$200,000 or more",1100
92107,2010,"Less than $15,000",1034
92107,2010,"$15,000 to $29,999",1615
92107,2010,"$30,000 to $44,999",2092
92107,2010,"$45,000 to $59,999",1731
92107,2010,"$60,000 to $74,999",1492
92107,2010,"$75,000 to $99,999",2111
92107,2010,"$100,000 to $124,999",1058
92107,2010,"$125,000 to $149,999",715
92107,2010,"$150,000 to $199,999",802
92107,2010,"$200,000 or more",645
92108,2010,"Less than $15,000",673
92108,2010,"$15,000 to $29,999",1045
92108,2010,"$30,000 to $44,999",1168
92108,2010,"$45,000 to $59,999",1456
92108,2010,"$60,000 to $74,999",1284
92108,2010,"$75,000 to $99,999",1535
92108,2010,"$100,000 to $124,999",993
92108,2010,"$125,000 to $149,999",771
92108,2010,"$150,000 to $199,999",370
92108,2010,"$200,000 or more",320
92109,2010,"Less than $15,000",2382
92109,2010,"$15,000 to $29,999",2633
92109,2010,"$30,000 to $44,999",3043
92109,2010,"$45,000 to $59,999",2804
92109,2010,"$60,000 to $74,999",2631
92109,2010,"$75,000 to $99,999",3396
92109,2010,"$100,000 to $124,999",2090
92109,2010,"$125,000 to $149,999",1553
92109,2010,"$150,000 to $199,999",1500
92109,2010,"$200,000 or more",1363
92110,2010,"Less than $15,000",1460
92110,2010,"$15,000 to $29,999",1622
92110,2010,"$30,000 to $44,999",1467
92110,2010,"$45,000 to $59,999",1310
92110,2010,"$60,000 to $74,999",930
92110,2010,"$75,000 to $99,999",1360
92110,2010,"$100,000 to $124,999",912
92110,2010,"$125,000 to $149,999",536
92110,2010,"$150,000 to $199,999",609
92110,2010,"$200,000 or more",517
92111,2010,"Less than $15,000",1714
92111,2010,"$15,000 to $29,999",2434
92111,2010,"$30,000 to $44,999",2975
92111,2010,"$45,000 to $59,999",2658
92111,2010,"$60,000 to $74,999",1656
92111,2010,"$75,000 to $99,999",2699
92111,2010,"$100,000 to $124,999",1448
92111,2010,"$125,000 to $149,999",752
92111,2010,"$150,000 to $199,999",765
92111,2010,"$200,000 or more",356
92113,2010,"Less than $15,000",2735
92113,2010,"$15,000 to $29,999",3715
92113,2010,"$30,000 to $44,999",2061
92113,2010,"$45,000 to $59,999",1698
92113,2010,"$60,000 to $74,999",851
92113,2010,"$75,000 to $99,999",951
92113,2010,"$100,000 to $124,999",349
92113,2010,"$125,000 to $149,999",172
92113,2010,"$150,000 to $199,999",148
92113,2010,"$200,000 or more",112
92114,2010,"Less than $15,000",1680
92114,2010,"$15,000 to $29,999",2764
92114,2010,"$30,000 to $44,999",2640
92114,2010,"$45,000 to $59,999",1987
92114,2010,"$60,000 to $74,999",1892
92114,2010,"$75,000 to $99,999",2735
92114,2010,"$100,000 to $124,999",1817
92114,2010,"$125,000 to $149,999",718
92114,2010,"$150,000 to $199,999",531
92114,2010,"$200,000 or more",383
92115,2010,"Less than $15,000",3872
92115,2010,"$15,000 to $29,999",4304
92115,2010,"$30,000 to $44,999",3194
92115,2010,"$45,000 to $59,999",2626
92115,2010,"$60,000 to $74,999",1853
92115,2010,"$75,000 to $99,999",2493
92115,2010,"$100,000 to $124,999",1494
92115,2010,"$125,000 to $149,999",618
92115,2010,"$150,000 to $199,999",542
92115,2010,"$200,000 or more",526
92116,2010,"Less than $15,000",2148
92116,2010,"$15,000 to $29,999",2481
92116,2010,"$30,000 to $44,999",2826
92116,2010,"$45,000 to $59,999",2373
92116,2010,"$60,000 to $74,999",1891
92116,2010,"$75,000 to $99,999",1853
92116,2010,"$100,000 to $124,999",900
92116,2010,"$125,000 to $149,999",489
92116,2010,"$150,000 to $199,999",476
92116,2010,"$200,000 or more",673
92117,2010,"Less than $15,000",1593
92117,2010,"$15,000 to $29,999",2772
92117,2010,"$30,000 to $44,999",2502
92117,2010,"$45,000 to $59,999",2596
92117,2010,"$60,000 to $74,999",2611
92117,2010,"$75,000 to $99,999",3259
92117,2010,"$100,000 to $124,999",1782
92117,2010,"$125,000 to $149,999",1236
92117,2010,"$150,000 to $199,999",1216
92117,2010,"$200,000 or more",725
92118,2010,"Less than $15,000",460
92118,2010,"$15,000 to $29,999",657
92118,2010,"$30,000 to $44,999",742
92118,2010,"$45,000 to $59,999",574
92118,2010,"$60,000 to $74,999",650
92118,2010,"$75,000 to $99,999",1030
92118,2010,"$100,000 to $124,999",796
92118,2010,"$125,000 to $149,999",623
92118,2010,"$150,000 to $199,999",733
92118,2010,"$200,000 or more",1087
92119,2010,"Less than $15,000",729
92119,2010,"$15,000 to $29,999",908
92119,2010,"$30,000 to $44,999",1089
92119,2010,"$45,000 to $59,999",1187
92119,2010,"$60,000 to $74,999",879
92119,2010,"$75,000 to $99,999",1450
92119,2010,"$100,000 to $124,999",1109
92119,2010,"$125,000 to $149,999",999
92119,2010,"$150,000 to $199,999",745
92119,2010,"$200,000 or more",380
92120,2010,"Less than $15,000",745
92120,2010,"$15,000 to $29,999",898
92120,2010,"$30,000 to $44,999",1257
92120,2010,"$45,000 to $59,999",1268
92120,2010,"$60,000 to $74,999",1092
92120,2010,"$75,000 to $99,999",1769
92120,2010,"$100,000 to $124,999",1326
92120,2010,"$125,000 to $149,999",855
92120,2010,"$150,000 to $199,999",860
92120,2010,"$200,000 or more",763
92121,2010,"Less than $15,000",190
92121,2010,"$15,000 to $29,999",46
92121,2010,"$30,000 to $44,999",96
92121,2010,"$45,000 to $59,999",100
92121,2010,"$60,000 to $74,999",170
92121,2010,"$75,000 to $99,999",294
92121,2010,"$100,000 to $124,999",185
92121,2010,"$125,000 to $149,999",193
92121,2010,"$150,000 to $199,999",186
92121,2010,"$200,000 or more",248
92122,2010,"Less than $15,000",2929
92122,2010,"$15,000 to $29,999",2021
92122,2010,"$30,000 to $44,999",2178
92122,2010,"$45,000 to $59,999",1483
92122,2010,"$60,000 to $74,999",1678
92122,2010,"$75,000 to $99,999",2631
92122,2010,"$100,000 to $124,999",1834
92122,2010,"$125,000 to $149,999",1507
92122,2010,"$150,000 to $199,999",1878
92122,2010,"$200,000 or more",1468
92123,2010,"Less than $15,000",636
92123,2010,"$15,000 to $29,999",1037
92123,2010,"$30,000 to $44,999",1315
92123,2010,"$45,000 to $59,999",1308
92123,2010,"$60,000 to $74,999",1039
92123,2010,"$75,000 to $99,999",1566
92123,2010,"$100,000 to $124,999",1364
92123,2010,"$125,000 to $149,999",638
92123,2010,"$150,000 to $199,999",697
92123,2010,"$200,000 or more",391
92124,2010,"Less than $15,000",501
92124,2010,"$15,000 to $29,999",966
92124,2010,"$30,000 to $44,999",1330
92124,2010,"$45,000 to $59,999",1356
92124,2010,"$60,000 to $74,999",1315
92124,2010,"$75,000 to $99,999",1820
92124,2010,"$100,000 to $124,999",1388
92124,2010,"$125,000 to $149,999",947
92124,2010,"$150,000 to $199,999",779
92124,2010,"$200,000 or more",608
92126,2010,"Less than $15,000",1111
92126,2010,"$15,000 to $29,999",1802
92126,2010,"$30,000 to $44,999",2652
92126,2010,"$45,000 to $59,999",2318
92126,2010,"$60,000 to $74,999",2516
92126,2010,"$75,000 to $99,999",4437
92126,2010,"$100,000 to $124,999",2849
92126,2010,"$125,000 to $149,999",2299
92126,2010,"$150,000 to $199,999",2031
92126,2010,"$200,000 or more",908
92127,2010,"Less than $15,000",558
92127,2010,"$15,000 to $29,999",665
92127,2010,"$30,000 to $44,999",942
92127,2010,"$45,000 to $59,999",942
92127,2010,"$60,000 to $74,999",985
92127,2010,"$75,000 to $99,999",1867
92127,2010,"$100,000 to $124,999",1834
92127,2010,"$125,000 to $149,999",1210
92127,2010,"$150,000 to $199,999",1909
92127,2010,"$200,000 or more",2099
92128,2010,"Less than $15,000",934
92128,2010,"$15,000 to $29,999",1531
92128,2010,"$30,000 to $44,999",2010
92128,2010,"$45,000 to $59,999",1828
92128,2010,"$60,000 to $74,999",1937
92128,2010,"$75,000 to $99,999",3264
92128,2010,"$100,000 to $124,999",2915
92128,2010,"$125,000 to $149,999",1600
92128,2010,"$150,000 to $199,999",2306
92128,2010,"$200,000 or more",1940
92129,2010,"Less than $15,000",779
92129,2010,"$15,000 to $29,999",915
92129,2010,"$30,000 to $44,999",1025
92129,2010,"$45,000 to $59,999",1186
92129,2010,"$60,000 to $74,999",1454
92129,2010,"$75,000 to $99,999",2557
92129,2010,"$100,000 to $124,999",2227
92129,2010,"$125,000 to $149,999",1983
92129,2010,"$150,000 to $199,999",2691
92129,2010,"$200,000 or more",2032
92130,2010,"Less than $15,000",783
92130,2010,"$15,000 to $29,999",1029
92130,2010,"$30,000 to $44,999",825
92130,2010,"$45,000 to $59,999",863
92130,2010,"$60,000 to $74,999",1019
92130,2010,"$75,000 to $99,999",1955
92130,2010,"$100,000 to $124,999",2360
92130,2010,"$125,000 to $149,999",1941
92130,2010,"$150,000 to $199,999",2701
92130,2010,"$200,000 or more",4324
92131,2010,"Less than $15,000",294
92131,2010,"$15,000 to $29,999",326
92131,2010,"$30,000 to $44,999",763
92131,2010,"$45,000 to $59,999",648
92131,2010,"$60,000 to $74,999",723
92131,2010,"$75,000 to $99,999",1611
92131,2010,"$100,000 to $124,999",1696
92131,2010,"$125,000 to $149,999",1340
92131,2010,"$150,000 to $199,999",2124
92131,2010,"$200,000 or more",2437
92134,2010,"Less than $15,000",2
92134,2010,"$15,000 to $29,999",2
92134,2010,"$30,000 to $44,999",1
92134,2010,"$45,000 to $59,999",1
92134,2010,"$60,000 to $74,999",1
92134,2010,"$75,000 to $99,999",1
92134,2010,"$100,000 to $124,999",1
92134,2010,"$125,000 to $149,999",1
92134,2010,"$150,000 to $199,999",1
92134,2010,"$200,000 or more",2
92135,2010,"Less than $15,000",0
92135,2010,"$15,000 to $29,999",0
92135,2010,"$30,000 to $44,999",0
92135,2010,"$45,000 to $59,999",0
92135,2010,"$60,000 to $74,999",0
92135,2010,"$75,000 to $99,999",0
92135,2010,"$100,000 to $124,999",16
92135,2010,"$125,000 to $149,999",18
92135,2010,"$150,000 to $199,999",0
92135,2010,"$200,000 or more",0
92136,2010,"Less than $15,000",0
92136,2010,"$15,000 to $29,999",0
92136,2010,"$30,000 to $44,999",0
92136,2010,"$45,000 to $59,999",0
92136,2010,"$60,000 to $74,999",0
92136,2010,"$75,000 to $99,999",0
92136,2010,"$100,000 to $124,999",0
92136,2010,"$125,000 to $149,999",0
92136,2010,"$150,000 to $199,999",0
92136,2010,"$200,000 or more",0
92139,2010,"Less than $15,000",661
92139,2010,"$15,000 to $29,999",1252
92139,2010,"$30,000 to $44,999",1704
92139,2010,"$45,000 to $59,999",1474
92139,2010,"$60,000 to $74,999",1317
92139,2010,"$75,000 to $99,999",1850
92139,2010,"$100,000 to $124,999",837
92139,2010,"$125,000 to $149,999",420
92139,2010,"$150,000 to $199,999",476
92139,2010,"$200,000 or more",202
92140,2010,"Less than $15,000",0
92140,2010,"$15,000 to $29,999",0
92140,2010,"$30,000 to $44,999",0
92140,2010,"$45,000 to $59,999",7
92140,2010,"$60,000 to $74,999",0
92140,2010,"$75,000 to $99,999",0
92140,2010,"$100,000 to $124,999",0
92140,2010,"$125,000 to $149,999",0
92140,2010,"$150,000 to $199,999",0
92140,2010,"$200,000 or more",0
92145,2010,"Less than $15,000",0
92145,2010,"$15,000 to $29,999",0
92145,2010,"$30,000 to $44,999",0
92145,2010,"$45,000 to $59,999",1
92145,2010,"$60,000 to $74,999",0
92145,2010,"$75,000 to $99,999",0
92145,2010,"$100,000 to $124,999",0
92145,2010,"$125,000 to $149,999",0
92145,2010,"$150,000 to $199,999",0
92145,2010,"$200,000 or more",0
92154,2010,"Less than $15,000",1999
92154,2010,"$15,000 to $29,999",2823
92154,2010,"$30,000 to $44,999",3273
92154,2010,"$45,000 to $59,999",3000
92154,2010,"$60,000 to $74,999",2131
92154,2010,"$75,000 to $99,999",3097
92154,2010,"$100,000 to $124,999",1887
92154,2010,"$125,000 to $149,999",943
92154,2010,"$150,000 to $199,999",829
92154,2010,"$200,000 or more",239
92155,2010,"Less than $15,000",3
92155,2010,"$15,000 to $29,999",2
92155,2010,"$30,000 to $44,999",3
92155,2010,"$45,000 to $59,999",4
92155,2010,"$60,000 to $74,999",1
92155,2010,"$75,000 to $99,999",3
92155,2010,"$100,000 to $124,999",1
92155,2010,"$125,000 to $149,999",1
92155,2010,"$150,000 to $199,999",2
92155,2010,"$200,000 or more",2
92161,2010,"Less than $15,000",0
92161,2010,"$15,000 to $29,999",0
92161,2010,"$30,000 to $44,999",0
92161,2010,"$45,000 to $59,999",0
92161,2010,"$60,000 to $74,999",0
92161,2010,"$75,000 to $99,999",0
92161,2010,"$100,000 to $124,999",0
92161,2010,"$125,000 to $149,999",0
92161,2010,"$150,000 to $199,999",0
92161,2010,"$200,000 or more",0
92173,2010,"Less than $15,000",1563
92173,2010,"$15,000 to $29,999",1680
92173,2010,"$30,000 to $44,999",1313
92173,2010,"$45,000 to $59,999",922
92173,2010,"$60,000 to $74,999",771
92173,2010,"$75,000 to $99,999",591
92173,2010,"$100,000 to $124,999",279
92173,2010,"$125,000 to $149,999",173
92173,2010,"$150,000 to $199,999",93
92173,2010,"$200,000 or more",164
92182,2010,"Less than $15,000",0
92182,2010,"$15,000 to $29,999",0
92182,2010,"$30,000 to $44,999",0
92182,2010,"$45,000 to $59,999",0
92182,2010,"$60,000 to $74,999",0
92182,2010,"$75,000 to $99,999",0
92182,2010,"$100,000 to $124,999",0
92182,2010,"$125,000 to $149,999",0
92182,2010,"$150,000 to $199,999",0
92182,2010,"$200,000 or more",0
92259,2010,"Less than $15,000",0
92259,2010,"$15,000 to $29,999",0
92259,2010,"$30,000 to $44,999",0
92259,2010,"$45,000 to $59,999",0
92259,2010,"$60,000 to $74,999",0
92259,2010,"$75,000 to $99,999",0
92259,2010,"$100,000 to $124,999",0
92259,2010,"$125,000 to $149,999",0
92259,2010,"$150,000 to $199,999",0
92259,2010,"$200,000 or more",0
92536,2010,"Less than $15,000",36
92536,2010,"$15,000 to $29,999",26
92536,2010,"$30,000 to $44,999",39
92536,2010,"$45,000 to $59,999",40
92536,2010,"$60,000 to $74,999",25
92536,2010,"$75,000 to $99,999",8
92536,2010,"$100,000 to $124,999",9
92536,2010,"$125,000 to $149,999",1
92536,2010,"$150,000 to $199,999",4
92536,2010,"$200,000 or more",8
92672,2010,"Less than $15,000",50
92672,2010,"$15,000 to $29,999",231
92672,2010,"$30,000 to $44,999",270
92672,2010,"$45,000 to $59,999",262
92672,2010,"$60,000 to $74,999",169
92672,2010,"$75,000 to $99,999",99
92672,2010,"$100,000 to $124,999",34
92672,2010,"$125,000 to $149,999",16
92672,2010,"$150,000 to $199,999",27
92672,2010,"$200,000 or more",0
91901,2010,median income,80513
91902,2010,median income,76075
91905,2010,median income,53429
91906,2010,median income,53627
91910,2010,median income,54288
91911,2010,median income,50186
91913,2010,median income,86775
91914,2010,median income,97977
91915,2010,median income,98941
91916,2010,median income,63929
91917,2010,median income,71827
91931,2010,median income,62609
91932,2010,median income,45790
91934,2010,median income,52254
91935,2010,median income,103601
91941,2010,median income,68153
91942,2010,median income,49556
91945,2010,median income,51932
91948,2010,median income,53092
91950,2010,median income,37744
91962,2010,median income,53294
91963,2010,median income,53095
91977,2010,median income,62502
91978,2010,median income,71114
91980,2010,median income,48750
92003,2010,median income,71588
92004,2010,median income,46505
92007,2010,median income,87289
92008,2010,median income,60951
92009,2010,median income,102208
92010,2010,median income,83899
92011,2010,median income,94478
92014,2010,median income,128556
92019,2010,median income,72571
92020,2010,median income,49840
92021,2010,median income,52402
92024,2010,median income,86128
92025,2010,median income,48644
92026,2010,median income,57244
92027,2010,median income,58829
92028,2010,median income,65633
92029,2010,median income,73028
92036,2010,median income,56431
92037,2010,median income,94084
92040,2010,median income,66552
92054,2010,median income,53011
92055,2010,median income,46661
92056,2010,median income,67347
92057,2010,median income,69479
92058,2010,median income,55101
92059,2010,median income,62027
92060,2010,median income,48750
92061,2010,median income,74085
92064,2010,median income,96895
92065,2010,median income,80391
92066,2010,median income,43333
92067,2010,median income,132256
92069,2010,median income,57135
92070,2010,median income,50200
92071,2010,median income,70067
92075,2010,median income,86752
92078,2010,median income,61281
92081,2010,median income,62325
92082,2010,median income,74847
92083,2010,median income,55428
92084,2010,median income,52290
92086,2010,median income,42789
92091,2010,median income,126907
92093,2010,median income,144444
92101,2010,median income,49158
92102,2010,median income,40605
92103,2010,median income,56876
92104,2010,median income,45399
92105,2010,median income,36738
92106,2010,median income,75830
92107,2010,median income,61764
92108,2010,median income,65438
92109,2010,median income,64763
92110,2010,median income,54303
92111,2010,median income,54060
92113,2010,median income,29782
92114,2010,median income,56244
92115,2010,median income,42140
92116,2010,median income,48793
92117,2010,median income,63924
92118,2010,median income,89393
92119,2010,median income,74070
92120,2010,median income,77212
92121,2010,median income,96429
92122,2010,median income,70660
92123,2010,median income,70099
92124,2010,median income,75508
92126,2010,median income,80987
92127,2010,median income,107450
92128,2010,median income,89495
92129,2010,median income,105708
92130,2010,median income,125850
92131,2010,median income,123821
92134,2010,median income,67500
92135,2010,median income,126389
92139,2010,median income,60063
92140,2010,median income,52500
92145,2010,median income,52500
92154,2010,median income,55077
92155,2010,median income,56250
92173,2010,median income,36072
92536,2010,median income,43846
92672,2010,median income,46603